"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 10 00:40:57 GMT 2023","Sun Dec 10 00:40:57 GMT 2023","74","Bank Account","Get Bank Account","","","","Get Bank Account",""
"failed","Sun Dec 10 00:40:54 GMT 2023","Sun Dec 10 00:40:54 GMT 2023","78","Profile","Update Profile","","","","Update Profile With State",""
"passed","Sun Dec 10 00:40:55 GMT 2023","Sun Dec 10 00:40:55 GMT 2023","72","Meta","Get Banks","","","","Get Banks With Invalid Endpoint",""
"failed","Sun Dec 10 00:40:56 GMT 2023","Sun Dec 10 00:40:56 GMT 2023","70","Bank Account","Add Bank Account","","","","Add Bank Account",""
"failed","Sun Dec 10 00:40:59 GMT 2023","Sun Dec 10 00:41:00 GMT 2023","72","Delete Bank Account","","","","","Delete Bank Account With Invalid ID",""
"failed","Sun Dec 10 00:40:59 GMT 2023","Sun Dec 10 00:40:59 GMT 2023","63","Notifications","","","","","Get Notifications With Invalid Endpoint",""
"failed","Sun Dec 10 00:40:57 GMT 2023","Sun Dec 10 00:40:57 GMT 2023","73","Bank Account","Get Bank Account Stats","","","","Get Bank Account Stats",""
"passed","Sun Dec 10 00:40:55 GMT 2023","Sun Dec 10 00:40:55 GMT 2023","79","Meta","Get Categories","","","","Get Categories",""
"passed","Sun Dec 10 00:40:53 GMT 2023","Sun Dec 10 00:40:53 GMT 2023","75","Auth","Refresh Authentication","","","","Refresh Authentication With Empty Token Field",""
"failed","Sun Dec 10 00:40:59 GMT 2023","Sun Dec 10 00:40:59 GMT 2023","68","Transactions","Get Transaction","","","","Get Transaction",""
"failed","Sun Dec 10 00:40:57 GMT 2023","Sun Dec 10 00:40:57 GMT 2023","64","Transactions","Dump Transactions","","","","Dump Transaction With Invalid Endpoint",""
"failed","Sun Dec 10 00:41:00 GMT 2023","Sun Dec 10 00:41:00 GMT 2023","72","Logout","","","","","Logout",""
"failed","Sun Dec 10 00:40:56 GMT 2023","Sun Dec 10 00:40:56 GMT 2023","70","Bank Account","Add Bank Account","","","","Add Bank Account Empty Acc Number Field",""
"failed","Sun Dec 10 00:40:57 GMT 2023","Sun Dec 10 00:40:58 GMT 2023","70","Transactions","Dump Transactions","","","","Dump Transaction",""
"failed","Sun Dec 10 00:40:55 GMT 2023","Sun Dec 10 00:40:55 GMT 2023","72","Complete Phone Number Verification","","","","","Complete Phone Number Verification With Empty Phone Number Field",""
"failed","Sun Dec 10 00:40:54 GMT 2023","Sun Dec 10 00:40:54 GMT 2023","71","Profile","Update Profile","","","","Update Profile",""
"passed","Sun Dec 10 00:40:55 GMT 2023","Sun Dec 10 00:40:55 GMT 2023","75","Meta","Get Banks","","","","Get Banks",""
"failed","Sun Dec 10 00:40:59 GMT 2023","Sun Dec 10 00:40:59 GMT 2023","64","Notifications","","","","","Persist Notification Token",""
"passed","Sun Dec 10 00:40:53 GMT 2023","Sun Dec 10 00:40:53 GMT 2023","96","Auth","Authenticate Provider","","","","Authenticate Provider",""
"failed","Sun Dec 10 00:40:59 GMT 2023","Sun Dec 10 00:40:59 GMT 2023","73","Transactions","Update Transactions","","","","Update Transaction",""
"failed","Sun Dec 10 00:41:00 GMT 2023","Sun Dec 10 00:41:00 GMT 2023","71","Logout","","","","","Logout with Invalid Endpoint",""
"failed","Sun Dec 10 00:40:58 GMT 2023","Sun Dec 10 00:40:58 GMT 2023","64","Transactions","List Transactions","","","","List Transactions By Search Word",""
"failed","Sun Dec 10 00:40:59 GMT 2023","Sun Dec 10 00:40:59 GMT 2023","70","Transactions","Update Transactions","","","","Update Transaction Without ID",""
"failed","Sun Dec 10 00:40:56 GMT 2023","Sun Dec 10 00:40:56 GMT 2023","65","Bank Account","Add Bank Account","","","","Add Bank Account Already existing Account",""
"failed","Sun Dec 10 00:40:54 GMT 2023","Sun Dec 10 00:40:54 GMT 2023","80","Profile","Update Profile","","","","Update Profile unverified Phone number",""
"failed","Sun Dec 10 00:40:58 GMT 2023","Sun Dec 10 00:40:59 GMT 2023","65","Transactions","Get Transaction","","","","Get Transaction With Invalid Id",""
"passed","Sun Dec 10 00:41:00 GMT 2023","Sun Dec 10 00:41:00 GMT 2023","75","Delete Profile","","","","","Delete Profile With Invalid Endpoint",""
